equipment_type,hours_used,kilometers_covered,fuel_consumed,operating_temperature_avg,load_factor,terrain_type,idle_time_hours,error_count,cumulative_hours,cumulative_km,days_since_last_maintenance,maintenance_needed
tractor,19.66815073408481,103.69159807490836,109.5609345413225,92.38004184558861,50.91995923750376,rough,0.8718321450249572,1,2199.246723514435,6382.807635424287,62.05087683799627,0
harvester,15.284750980878485,86.48287229645575,147.50356806612098,80.66543565084058,45.64975048982454,flat,0.46551383902949606,3,1596.5951460619867,9427.480957453958,161.5827365315113,1
other,35.10447146214029,240.66091614585278,62.11958731864403,97.60533769831113,88.41983020531904,hilly,0.8040402570874933,2,908.2082732885262,5222.956304675376,43.467586661927214,0
other,38.487673537545305,293.9571712158091,53.12851085933449,81.70160922219597,60.5288446103256,hilly,1.3260118384086272,0,884.6506227299398,1976.9861827871891,160.67633337670327,0
harvester,35.101582684839485,348.3836747273232,42.22593755381774,79.96773519539009,64.32025195255099,mixed,3.227361479535839,0,1795.9256800345304,10300.187507608829,164.76072584946027,0
tractor,30.753161112687724,392.5260018120974,20.54847584085795,72.22788077148728,41.45466186902076,flat,1.5846100257813882,0,1428.654068216606,8834.836543615445,125.58933360482017,1
other,21.139105158327375,116.58218664650073,51.34068237865142,72.90203056954402,80.92018769548046,flat,3.5124204199355464,0,834.3822631150947,4845.28740009415,146.01029764757337,0
harvester,33.25524867268862,93.82410233457605,19.93172837998987,75.87135308855554,33.046111862363816,rough,1.689975784257679,1,398.99130976866184,349.2952344055968,84.34204524571037,0
tractor,43.718207824025384,115.09551699602834,15.436862820119249,72.13062058692891,62.22494563179933,flat,2.611216300274022,1,2005.4188918412904,5804.802747441914,10.251028089180778,1
planter,10.973544000933641,388.42400950338043,110.04331458519329,61.64270067071503,53.92925408668767,rough,2.1948571035281805,0,194.11080950464003,1417.5989961986936,150.64044157168485,1
harvester,24.9058503378997,111.11919647981323,23.142260611380845,67.31463988429229,86.07683984038258,flat,4.77432640331597,2,2048.706113704208,7794.4883645460495,64.71910947857583,1
harvester,9.237064472085205,138.3370575686918,147.1314740070112,67.01321079557354,31.029666109905016,hilly,2.4580793755841617,1,491.3440496645261,1370.0394845644755,111.23716755134674,0
harvester,5.688704313067314,374.7057970702035,80.14558374813629,81.57509793600249,71.03782616388847,mixed,0.3528437370021492,1,888.5856749859882,4587.55948113796,104.00987783978233,0
other,41.50418795312014,331.84300078270303,97.6315538142202,92.81707375085072,69.08908631146727,rough,0.9789556739464822,0,222.464336260928,531.9036405352881,17.905289975311184,0
tractor,22.342847943450426,279.0131942096601,57.6874397249936,70.42778112943613,59.76224725760437,hilly,3.483685826820753,3,1486.8902935090632,5231.674483606057,135.36004054371364,1
harvester,31.124480555475944,349.5043107396944,88.6613369001283,69.5438743916136,70.79068679401475,rough,3.7727143704234116,0,1026.3077068503821,3177.773285871273,148.93588643328576,0
tractor,48.134367359743926,341.9143947563241,59.686726664780885,98.27203540505826,70.6061942654582,mixed,2.8671894406164307,1,348.22744966903315,936.1963111697266,121.38080363778988,0
tractor,46.891809755928165,390.21431924307586,149.43037388424608,62.234846187094,74.22213340746053,flat,1.7545750627603933,0,387.0785848595691,2148.3463045770345,111.66103333361073,0
planter,15.015938790696374,170.7276087426157,134.86556722874872,65.86419286768103,60.799570121543574,hilly,4.933197892505877,1,861.1866849233453,3518.34193020437,177.4941904242939,1
planter,22.00944155550145,287.93205843273074,44.82138162024031,73.21010116076394,56.067110669296284,flat,0.056768223837095344,1,566.9925966999455,1821.022915528318,117.20864407877538,0
tractor,23.010030179241117,201.53165853448652,21.60478503706959,81.13480485188836,56.18014989639336,hilly,0.06077237344908171,1,996.8338523047285,3108.295509914222,178.74069850535477,0
other,12.479694435916382,102.38746050286666,51.22915255752018,99.83325500117482,71.81550335182888,rough,4.505790052454945,0,262.14441453139597,943.1371645135778,160.35721731647402,0
other,34.108176275092575,167.54198591615142,42.11526439869295,70.63751699856957,51.620705712316095,mixed,4.931053722398015,2,618.0934185542616,1356.6498371187222,30.10843214273554,1
tractor,23.748757598231563,240.841796048714,138.68471725697833,63.30993680141225,82.59968915554757,rough,0.22609335053094703,0,2075.2421549962532,13308.64452937623,177.72242714737507,1
harvester,30.608666112458643,44.13449524420051,15.155061469038793,65.35408475202533,30.820317889619837,rough,4.323611881275266,4,2147.7948842835913,12143.783310746252,45.27531021203238,0
tractor,44.51993003656365,307.6596702254469,16.56550549077079,70.74689928101229,31.3310845218181,hilly,2.6015385045189667,2,769.68595250255,2865.964227379564,157.92099487584375,1
planter,40.31007187749393,262.9573156502121,122.70625345271067,96.12604234706505,67.03582272583752,hilly,1.7529377940329849,1,668.2464507436858,3380.6642757911004,63.33772859717076,0
other,18.408175319387773,218.96886488570425,107.66986200908487,91.85887102695509,57.56080847677035,flat,2.460581465397691,0,1144.51559260224,7228.235967831544,89.17863882472366,0
planter,20.370344470544527,224.16009835134662,74.41668225770009,83.39064423796614,54.018029334616884,mixed,3.2043737240160732,0,773.5010794100831,4495.360295146869,85.83913360705415,0
harvester,15.073207965784427,332.2804420008907,58.31156789513415,73.90476857930734,31.908280889109907,hilly,0.603179355503004,1,1425.8121820518622,6861.474793525507,124.58067432465639,0
tractor,28.024565609626755,79.6515194321536,62.82003513389016,60.10380097534586,82.09806642213522,mixed,3.7412984519182917,0,1511.4656241509128,6826.2569177418,87.72961434919281,1
other,7.805361313005865,76.14085492436615,28.636370002246956,87.48662021613325,80.66644035801772,rough,2.6605674263265784,0,958.1964417336189,4159.481743091923,44.40222015061661,0
tractor,30.378429140847636,339.46979463361384,22.488606019687865,81.41342256062094,43.992984692988074,flat,2.9679622677702433,2,489.7995131480322,2537.6770823984302,106.04456012573736,0
tractor,22.04476816780802,148.2297968713289,135.95063560030172,84.30220889174291,44.66118932787927,rough,4.932576243964898,1,1223.3624671032203,4413.52840766613,45.02643338082696,0
planter,41.26391990335146,41.14832595565063,127.92396494174542,62.065419114980514,31.094548885701663,flat,4.911893084543032,0,332.4210428360075,1047.5684921100144,155.92577553502247,1
other,41.93876629190086,293.0137629178904,84.90514248628747,79.06477936505648,80.31495352215748,flat,0.9352187427876169,0,949.4695110988953,4080.1668864827207,44.39134210229936,0
harvester,8.928058081535395,212.31950341655187,140.48200791597077,72.82568768638058,65.63298585347393,hilly,1.683021390969603,0,1590.4685379777777,12391.99942430875,58.70133825047541,1
tractor,10.25132288637566,199.80315639971906,94.85426334781741,91.7715779986585,36.40195500680616,flat,4.153097038938646,1,470.5844464890485,808.7879477231589,33.440718843653165,0
other,7.1642589783839465,316.9755030655377,125.91172420484887,90.02007699061254,77.97222785517093,rough,0.8213289896549647,2,914.9319652754646,5432.528506541912,71.24767422865173,0
planter,45.48503503814779,257.1585867890983,85.56934866804863,77.54978701553355,64.64917625436755,flat,4.497872866372842,1,1181.3293875948332,4456.797608719104,21.92474928679717,1
planter,36.217292333150226,83.3576887974856,133.00807615228135,79.81694505615863,74.48765466834273,rough,3.9429860561226535,0,899.8827138666104,3156.4715762003584,134.16638637050917,0
harvester,38.95858813370525,59.108091682775104,85.10738920784327,75.15286262227663,57.4200131569007,mixed,1.9864364528018363,1,1153.1905231649598,6866.2250401219235,129.8865400417473,0
other,31.95632141497969,334.18355456744973,144.2704712389639,73.70097028714173,43.64105898179922,rough,2.3100290182206633,1,1023.4850370047031,4038.540241026454,110.45030814280196,0
other,9.599569890133981,369.12519845908366,120.61184919737214,60.9209041915055,69.08203265929477,flat,2.881441800834066,1,981.536877808242,4705.24968704327,166.67676381031296,1
tractor,13.384439577235431,338.246499820947,56.50049777169145,72.45777056182564,43.64373725262676,rough,1.9950135193506513,0,582.0875905208011,2907.3364027323314,1.8291321178239117,0
planter,43.85831632758306,370.7248880834242,75.19801712463385,79.23347912356294,85.10728349635806,mixed,1.1230241146999098,1,531.972848246558,2437.1647086595726,75.98765546131408,1
tractor,17.491422768323815,103.63694135081688,39.77530980777168,80.60694729627251,88.53247894096538,flat,0.7433136387655648,1,2081.3789702605404,8723.553012367001,107.57391810028784,0
planter,20.722414957219986,197.92809480772414,97.49663818714733,75.10903789760677,80.19388879753998,rough,0.32854319714176183,1,1071.988055634346,4214.011524402235,72.73658789668335,0
planter,20.046326508971696,48.6912782454779,115.45447090464312,70.89207418881197,83.84582458913306,hilly,2.043670855490482,0,225.90870404784494,972.7166999186085,118.94738560191709,0
planter,13.825089486205377,212.09299406029285,93.30685715805888,73.57084983584764,64.16661106581002,rough,3.2637305392593734,0,340.91483222081166,1227.6339876168295,130.28578080216298,0
other,11.348683194997111,174.42907714393837,55.35860855495195,63.47700059801397,67.99444649465764,flat,1.0394312757301365,0,1037.9069568433085,5602.82118096643,76.43499455605713,1
planter,20.11396357174258,333.5407859406107,60.82828970731267,61.36912443282117,79.83927039391499,flat,2.0470582609562022,1,790.7560872620475,4982.328193732351,137.6854371545972,0
other,26.197945371221646,89.20071275220164,77.86897140104847,80.49830623527686,74.50121665371994,hilly,3.1673910991307364,0,1055.77698366606,7074.9159749741,177.20799034593583,1
planter,42.016274416025325,221.27143788893082,124.107619976344,79.92363014044022,34.030523994942605,flat,3.257101941759321,1,704.5225779524475,2575.506148438116,162.10333689081082,0
other,27.242323256222214,237.85186370817226,127.33497484496141,76.17526006196097,76.25468262385623,hilly,0.23482983387527523,0,1020.4599684027605,2224.0226100318837,108.96422759448349,0
tractor,24.673702836075957,367.89519737092735,111.01460055706679,84.4161866803183,86.95840782346593,rough,3.3183558268132405,2,1706.041649866398,7288.071623409005,107.51894959534562,1
tractor,33.04996479072459,200.21017730614045,58.21372248619265,74.06160644536875,54.76761303640514,flat,3.44201198213868,1,803.4282265152488,2755.9891143527034,125.3506682829424,0
planter,41.33436133175425,385.5975385903647,120.60189823085985,87.62240929782563,61.27804004481416,mixed,2.7095047368917906,3,695.0050112278666,2527.880732988026,45.69057358579428,1
harvester,35.146285904751764,36.782866329838065,92.35692597579035,99.9741399826334,63.34839488623078,hilly,4.577441487940209,0,546.7421662749689,888.5192396391802,166.46691897239893,0
harvester,7.469717659091372,192.95460031373932,83.14084064996365,85.78186602503288,69.01004102659368,mixed,1.1500441864385151,0,1554.0992422430234,9823.423092752188,61.837618514483836,1
planter,29.22806706713544,271.42896653060575,113.2998073669135,80.80672439514927,55.60902339929186,mixed,1.164797373768169,0,1248.8275673813177,2527.877298278527,157.5715994104717,0
planter,5.426844513282413,40.01985767134686,22.396077485906538,61.503870928250436,58.78687961139029,mixed,4.368385570931694,2,327.20672159863256,779.3304266153747,43.741109092526116,0
harvester,43.37698197613556,291.91025978901195,92.47519482592527,71.09062582787095,84.62034612345207,rough,2.138865668679312,1,773.4324091968083,5148.238427228114,141.75575758038383,1
other,32.03593008989891,363.4151075266028,148.48588737387024,89.73411291574496,33.89918456897364,mixed,4.713658870675628,2,1005.3239350838071,3455.50714685263,40.46703142356139,0
planter,41.03463592084438,259.31561073853817,40.28536322511749,80.73041466705568,65.83644434582047,flat,0.8694762460974365,1,1182.9057200311636,3147.1211628902406,147.03412937332058,1
planter,45.271464855252795,346.848190238811,74.04049368831902,75.64679064321518,46.377562491378896,flat,4.443740399344886,4,126.61528217783872,419.1227468622956,67.71124454520421,0
harvester,48.295488766642244,61.59816682069248,135.22719033552943,99.65901340580193,33.6910215743541,flat,2.40293288663324,2,1450.9528631409798,6481.1479012143855,48.79806036032642,1
planter,16.037848951490055,79.78945068695987,32.456014746210094,73.36035514980952,44.32140187806105,flat,3.400703858801502,2,1315.188143448434,6437.495969241796,6.235263663186087,0
harvester,15.288132268621558,365.3064975223598,10.156815607215329,82.24726940159027,75.39814822709607,mixed,0.0319293585841679,0,1966.3626022632611,13107.236047971584,114.09462133598363,0
other,10.780192314193611,127.67032034092101,12.579880623350446,77.2896313557005,80.40729016447312,mixed,3.1631094656697405,1,1296.3596930930753,5330.207730390641,13.142833579825771,0
tractor,36.88574020711832,199.95807760533364,18.10886447823176,62.98777671031416,81.14487955191886,hilly,4.867444845886984,2,1944.0017537755687,4886.987126382163,4.9601157236905085,1
planter,5.046326593053503,80.39654764516749,75.59551834760181,97.7721453983132,36.13161718162314,flat,0.8181191059583459,2,331.07383501188446,1855.9768948014043,118.15750735632321,0
tractor,6.40860411863823,297.88262545000055,137.3334315326946,94.29440368369995,87.87122833621251,rough,1.3710760117433503,2,2045.1269444817935,7847.068765027268,6.573000836327534,1
planter,29.445476260548116,80.5133805461205,38.51817489867839,63.646579616247664,39.21948228966676,rough,4.223916140584438,2,514.218926843013,3786.5753157840995,111.38040629921211,0
tractor,31.924726930509213,250.77645033981506,44.65559378447252,82.33650690332792,43.532408546624126,mixed,0.32104468537567044,1,501.1200371348033,465.8344302759819,82.48440668564241,0
harvester,22.799528774598592,390.38594371086214,111.0642679097709,86.27935430257972,75.42355605667339,mixed,3.8992549444667493,0,1633.1210637116324,4909.371993949518,44.32605783939242,1
other,14.465731096349087,151.48629570503903,118.61266301101385,97.64950016929546,34.34497632878049,flat,0.43933249572416677,0,524.8401168696953,1724.3987995992159,72.0492664400857,0
planter,36.19372733702065,332.14747664374926,15.765689339098035,86.81541833417648,87.09299846131961,flat,3.5323786324345057,0,708.9222584910244,785.0260245031534,97.89204401889161,0
other,33.13870970962765,317.70063585781355,95.71611802336211,79.37593790296162,69.64920709795504,mixed,2.7379618807686814,2,1213.1842699675433,6324.93664041923,15.611766783475534,0
planter,26.567551785932928,253.98196833805227,56.062441294052704,78.8073037078666,74.65674393569734,flat,3.9484925357123957,1,945.4612520485969,4404.679364988845,41.89339869830247,1
tractor,8.668692029859201,173.2393172270561,40.87855748912526,76.73599154670612,42.21469682053456,rough,2.3131147836965815,3,1210.1935051627006,5035.9333030362195,177.78927190875436,0
other,22.798182643205685,250.3517111532452,93.681299135821,91.71824378422527,69.30056032992651,rough,2.961751642966811,1,389.4080152504233,479.8449479286936,132.2272310123353,0
other,33.464323995183776,161.6824821317951,81.76612872881272,76.52124698590788,34.147967171197166,flat,1.2361553720158853,2,801.3792991787909,3708.6612016650997,30.270773192719076,0
tractor,43.60938142652176,23.431553569229095,92.37776866768476,83.94855920400431,53.79958658061372,rough,2.2689477069181962,0,894.9356713255173,3302.9822820994636,94.03953679152715,0
harvester,25.224522584618196,243.39606102194705,142.80166967920073,70.10111128301676,51.55504487497473,mixed,0.18335713466771486,2,799.0227041496267,2649.248823466739,105.77843122701863,1
other,6.538449467262118,394.9433325357214,27.215913194147742,69.24523649710586,33.101810234491616,flat,0.610549570050134,2,816.527951871298,1805.7406468329216,27.553432972213905,1
other,5.782090558346583,142.78964968670584,146.2336847298485,83.20448918781872,45.25347479384959,rough,2.444232901284601,1,716.6561441201738,3185.3330561040407,127.13785652985976,0
harvester,37.88732636918944,79.3422610210261,42.83858106687602,98.53387331281596,45.31839148370591,flat,4.190576448240551,2,766.7868792552497,3362.788117909629,103.13914464835051,0
other,46.34050086470769,248.23162616756971,141.72254988732908,93.0735553484751,70.01829101945444,flat,0.5329651515399536,2,1294.3219452222415,4056.504189149628,156.8648676103694,0
tractor,34.27302415062721,310.7725285311982,139.59447632329966,77.5268938564795,84.08253897530665,flat,3.9890682442931724,1,367.4128280402287,1758.5549973454465,2.030800229163761,0
other,30.354751730680647,164.55948760846312,86.78996103120674,83.85941899941686,62.74121330972841,rough,1.1363481363157573,0,931.0645119144488,3990.686577960704,111.888771935721,0
planter,47.8165351849696,341.9235973215782,137.9931122332058,92.55065153278346,36.535100510803886,flat,1.9941139044845024,1,869.1980281274737,3857.4704833830974,146.52444723018073,0
tractor,24.3887941192115,360.7514301392465,19.979237807722946,98.1864012013323,69.28158488588089,rough,0.30133695144780426,1,1713.2579099770187,9026.566869717451,46.96300562197092,1
planter,31.141942396825897,54.058008878878006,110.46901002720813,75.99620827216624,88.60351431975474,hilly,0.6094304666847378,0,896.2061296545796,2171.0201597888686,95.00424567640377,0
other,13.335280094633434,368.7459458851234,69.43383952749066,63.48155850350635,78.94491861025685,mixed,0.21706266427409582,2,1213.3313249538405,5964.557473737256,41.82627917885891,0
harvester,21.23476335997699,364.2386198193489,117.79225803523505,82.2654823174687,45.33869986855634,mixed,1.3740301777406805,1,765.8444910177518,1502.5981202829337,112.67081911710657,0
harvester,15.585601316089317,350.31865736739996,76.2048751886455,81.41432407370644,40.70675791366632,flat,3.2098575022163303,1,506.6427696322568,1935.582370368416,107.41126399832497,0
harvester,31.867111260306125,276.81967313320285,71.9803753491338,77.83163658308916,73.47101108391709,rough,4.956279968510941,0,673.6813072923213,4116.220403313497,104.53125814414723,0
harvester,34.03804268865726,246.38527671180356,66.16630796545758,74.67824316819203,50.61362848654224,rough,0.34711921373046684,1,1003.4796036609741,2514.8981215963727,97.6621327142074,1
harvester,15.387313511930543,193.60628505454008,36.645480794669496,62.09355503146033,52.70858540915214,hilly,2.7889170868501245,1,1422.3218403969502,8091.042597974092,172.41492592646307,0
tractor,23.426503385234174,180.621863090552,125.05290214615215,60.049467190376376,48.0511865011953,mixed,3.977249803948646,1,623.5660404350974,1594.7761473804887,178.65454688634915,0
tractor,9.181811497072546,117.67796124419036,120.3062783609171,94.58744768134162,66.50918475958747,mixed,3.9101404383519296,1,1527.5252208374352,5938.046359021079,65.46441693740192,0
tractor,42.13787487048036,126.2873446191621,141.93418267431264,94.93346646895391,39.70585268112657,hilly,2.484817414529151,2,1533.7736761501847,3827.101763266553,147.3234978199233,0
harvester,14.539212090600733,331.11930154822267,55.153916898498125,60.91575299904481,39.227468980081866,rough,1.7304986326889278,3,799.4355347597723,2805.134166518527,88.18408346858952,0
tractor,47.875888742058244,333.5762916179159,103.28296401690557,64.870476445011,58.694041382884336,mixed,0.6758314457741138,3,859.2178175084302,3889.801790435093,79.67259226529092,1
tractor,32.11489237292892,158.6233232749212,64.10451776228061,82.5776436271553,41.50694733551163,flat,0.29081897752737895,1,481.1244526944653,1057.9516701582838,43.81323865465068,0
tractor,16.942433413468756,87.55122738347431,106.8265277797047,84.72206697148744,67.99137756080785,mixed,4.069851347530094,1,1899.0703955597028,8943.764201758153,77.2689257163765,0
harvester,20.940630820014853,219.6917563480832,77.42887851488072,67.07548580575417,53.224725620137846,flat,0.05515632214323607,1,1352.3401496183246,5772.545183994469,137.09187833886216,0
tractor,42.54365146796454,259.1335462840798,37.83987888854143,62.584667193763444,32.557992557221965,flat,0.5486809933875175,1,1136.829291701608,2494.426200755099,88.3951635268983,0
other,34.32697915599357,328.0606526347812,95.97138356586305,94.38260926587783,53.54362329170847,hilly,4.460423444701172,2,625.3714230278949,1459.4099091277117,46.586041346243164,0
harvester,40.15266907041136,333.55023445290743,79.36329448453745,75.45395639393261,57.00746594518558,flat,3.069667923800309,0,840.0150332940927,2178.5321213921857,133.00064460114592,0
tractor,38.57932658668274,270.4335029973987,122.29827813786225,64.21470135811224,32.1342520221329,mixed,3.687541797295035,0,320.5093022949919,817.8915995570908,139.66298208143155,1
planter,29.7327219673516,335.60309343383915,19.61979655255749,76.97187543539553,34.95705980755612,mixed,4.839300174225152,0,826.1359576686998,2703.594137695025,69.36719549786837,0
tractor,16.732098496396244,46.316636388626776,144.37571253063007,79.13021178303694,83.74887584231291,hilly,3.9935709582728727,0,1075.2707855813424,3517.22006220439,105.25365581909712,0
other,12.048729663821373,36.6195378343884,25.513114705172985,83.94126302737462,35.70070193953828,mixed,2.16038441472098,1,1107.2126594226831,2672.035607383402,22.748746357864334,0
harvester,49.658693022026156,275.15287525996445,54.369146828292294,95.17074639991353,45.50589721750909,rough,1.261205100866808,1,545.1575674201284,824.7156602636807,139.9840929234507,1
harvester,17.119908423591127,225.03136378829194,111.91260474230404,64.31774858585857,71.11788096695241,mixed,4.088926649284725,0,1783.9822847113799,11028.98463135182,132.17147651315886,0
planter,11.820621721445312,55.62762984531152,90.80418966025701,95.08553766045617,56.02803073528631,mixed,2.3077873720989492,0,273.9736091913798,999.0523434297874,178.53398129153607,1
harvester,18.99180185033994,302.0922592175535,124.1165738272515,84.59912961364529,71.27304659279491,mixed,3.9189589224269863,1,1729.8599742922909,4286.333243496485,134.48634710889056,1
planter,42.888666717351896,198.72124055867855,80.2870298883826,64.98856227645562,53.12255298284171,mixed,3.6103546910136854,2,974.7623454211919,4978.098054636438,1.576069185165884,0
other,22.44531176376774,172.88430738089127,132.3967458854333,80.404388499953,73.40428593673718,flat,2.899918937140656,1,523.9971492274574,1418.4961586295158,145.09303094285778,0
tractor,11.704988126715955,284.25794636466026,114.42952923391444,99.2787676178458,42.590519691384564,mixed,2.586345282208047,1,1473.4286137980484,6769.37444903465,16.859476912651484,0
planter,39.496483578723954,298.7740154160787,51.92209146886413,66.93920297063829,68.2531958682138,mixed,3.92825809040116,0,1016.2510148766871,5840.547677300021,69.70609839601488,0
other,30.449748421464818,392.2657517128757,33.14117553582444,88.01007837778084,65.14860875831411,hilly,1.3653540498640622,1,713.1291717538273,1043.1413635537006,77.90856948026938,1
tractor,26.640770033888135,185.3685517170356,141.22946119022103,88.24076030656099,67.87023875740238,hilly,3.639696534868826,1,1342.0464601897245,6672.526521809629,29.444562012814288,0
other,46.51803761395053,199.38296499485935,11.876367700503184,71.30982758315048,32.675694502377695,hilly,1.3085284186795298,0,882.0215184790613,1821.82730860225,49.67900097702495,0
harvester,17.066255904298103,79.42508567331022,129.43254727651106,61.86002345760262,67.18196641196494,rough,0.6962268555879758,1,1878.7715920728622,12786.828655791856,4.906388022812621,0
planter,22.70515309536162,334.5899826224257,120.27982217387921,84.97701785886912,59.66886787770558,flat,1.282650312221239,1,1170.693960853762,4724.0136257444965,174.98895400404513,1
tractor,37.400361784840086,178.83617487078405,22.437634312259014,87.3501642230817,62.70633169564198,mixed,0.5738443593460874,2,495.78435318014226,811.1505639632633,15.628836888673307,0
tractor,11.343183238479618,272.3914075120586,40.25266344594305,63.90250040957199,81.71921450425634,rough,3.2548673357547706,1,1170.6493636290697,6430.063549916212,83.2039380898555,0
planter,20.28998622028483,351.41156600854106,86.27868627183219,90.33700071476444,75.24646081896984,rough,1.024406370753563,3,748.0128058894479,4139.938567551791,139.19023325948828,1
other,22.582776452612595,323.3707915252447,62.07057350836108,78.06787276926731,53.84288342911899,rough,3.8780592546266375,1,579.9741693495569,1411.9215506346761,142.92094100705725,0
planter,13.812836566411349,360.84401356094304,82.82667325521763,77.90411761280868,63.469211515752086,hilly,1.5838083853376332,2,1152.3016611464134,2446.351388695269,37.160804644045704,0
tractor,41.9169878352038,139.0015580305673,121.80305813358517,98.71023508413555,81.41243616450565,flat,4.018017677207676,2,1984.0621054498313,9458.727225502875,114.60615791245552,0
planter,10.842190202827291,281.00717911651105,23.02426810440381,61.174566364095696,79.37750677328916,hilly,0.3970329232151476,1,1102.4158436981338,4777.4711430535635,97.80208214241244,0
other,45.558320484859195,267.6338091084418,53.96851129898248,70.17287924713267,79.15530629228766,mixed,1.6760402368543637,0,1344.6692984855258,7049.054414353144,19.014108655712466,0
other,38.28520853270437,92.67895880754294,95.92883863419786,77.42021817592638,64.63498384611678,flat,4.2072377654238,2,973.2242513462281,5807.194187013915,59.19361876227412,0
other,12.520940516204956,269.0073156828301,148.84396640349743,62.90683486440065,34.62468071708764,rough,3.4707528675491552,1,803.9081964670871,2208.520171677835,55.40640582208956,0
harvester,15.474341619557993,326.8104915291815,18.27314461095546,95.9538955272099,69.04611285352485,hilly,3.3536615595291703,1,2040.3826761621233,9632.585626523598,155.75688610455794,0
harvester,5.810004002534674,180.14873580011403,13.804502252718184,98.64973642827192,37.64723756537214,flat,1.4610911523094887,3,1491.6382984333802,6701.2348769760565,55.550446074117865,1
planter,14.82994322974882,65.69394607443674,19.567730974516454,70.532631350128,32.76741386014403,flat,2.343839827322529,0,776.5288397228107,2141.482775283643,54.68552095975026,0
other,44.47577557229902,353.3594698739482,56.25712054260834,73.61623373398258,89.34170150101043,rough,0.39484581095414306,0,508.55584703680427,353.0883552265068,105.32242347994465,1
harvester,34.647128156303175,115.87675493897449,40.83154219282412,79.53498515931756,74.2539449455696,flat,4.548134097182962,3,1448.0869325844349,6127.765078765749,57.73343921461035,0
tractor,12.417110390604293,84.82112639169421,142.7351648240019,77.80984449139153,77.32813583432157,rough,1.1871673418740314,1,939.8054934231149,4065.4266590506422,117.74814245863958,1
harvester,49.272814078494704,122.204399414059,66.97606734879695,95.65920062494027,30.17526195728172,flat,2.362466775032568,0,1068.516601117378,4377.515389435477,174.90435167128805,1
other,25.1360663595106,200.229599763879,92.72144177794581,81.48029953405434,81.24815985903027,flat,1.0953440455092889,0,550.2694519064953,2329.5788504699326,144.6628366447865,0
planter,17.50199327517805,330.33922667127285,49.83872224680566,92.7282667499299,61.89596787626585,rough,2.537059693589044,2,588.5768030618469,337.1008488720749,50.176943067993996,0
other,44.70163502426814,274.958341802153,46.14425558676369,86.98431411664865,47.8036584662454,hilly,4.775302557424944,1,1061.567978497758,2420.1637307176666,47.11169243973621,0
planter,16.55124027395206,272.810998751661,122.04968306327693,86.50658052237422,35.53708752439543,rough,2.0947389509373773,1,918.1078479647708,4191.531141169382,169.56890237978757,0
harvester,31.94115810435938,210.818371785555,29.44198569551238,64.62950426714822,39.25929391698476,rough,3.619865277330469,0,2238.500875927145,5955.58951808538,96.58017758604971,1
harvester,25.19838822536187,52.06910460692609,65.91162477525674,96.40538547128537,78.48135779439318,rough,1.7158367658632911,3,1326.7016676256526,7076.0149251931,50.293230191719914,0
other,22.29078290618216,191.04687724913424,91.09728953487375,90.37404103010452,35.932417058438126,rough,2.910993732970569,1,617.7580841254326,1706.912162987957,68.04496677660173,0
tractor,7.01503027271007,309.52459165031786,142.53022075909647,73.59075308604471,61.03436290285991,hilly,3.1845115872737164,0,1362.7629136054888,6698.418084618323,56.70793161634745,0
